                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     54,                  2.353,                 1.6723,                   1.26,                0.54676,                0.41697,                0.44515,                 0.1917,                 2.2177,                 1.5076,                 1.2252,             0.00069335,             0.00069335,             0.00069335
                     55,                 2.2842,                 1.5961,                  1.229,                0.54774,                0.42624,                0.44708,                0.20027,                 2.1628,                  1.513,                 1.2306,              0.0006792,              0.0006792,              0.0006792
                     56,                 2.3027,                 1.6018,                 1.2305,                0.54016,                0.42904,                0.45161,                 0.2029,                 2.1473,                 1.4872,                 1.2242,             0.00066506,             0.00066506,             0.00066506
                     57,                 2.3064,                 1.6476,                 1.2578,                0.52462,                0.40855,                0.43181,                0.18502,                 2.2111,                 1.5473,                 1.2289,             0.00065091,             0.00065091,             0.00065091
                     58,                 2.2865,                 1.6153,                 1.2215,                 0.5296,                 0.4441,                0.46286,                0.20601,                 2.1717,                  1.497,                 1.2099,             0.00063676,             0.00063676,             0.00063676
                     59,                 2.2657,                 1.5862,                 1.2182,                0.54111,                0.41532,                0.44902,                 0.1906,                 2.2411,                  1.546,                   1.24,             0.00062262,             0.00062262,             0.00062262
                     60,                 2.2873,                 1.5926,                  1.229,                0.49178,                0.43701,                 0.4491,                0.19789,                 2.1728,                 1.5406,                 1.1985,             0.00060847,             0.00060847,             0.00060847
                     61,                 2.2368,                 1.5607,                 1.2067,                0.59095,                0.40828,                0.45205,                0.20222,                 2.1736,                 1.5149,                 1.2271,             0.00059432,             0.00059432,             0.00059432
                     62,                 2.3008,                 1.6283,                 1.2468,                0.51085,                0.44446,                0.46353,                0.19786,                 2.1746,                 1.5118,                 1.2179,             0.00058017,             0.00058017,             0.00058017
                     63,                 2.2301,                 1.5462,                 1.2078,                0.60166,                0.40485,                0.45825,                0.20252,                 2.1298,                 1.4653,                 1.1946,             0.00056603,             0.00056603,             0.00056603
                     64,                 2.2239,                 1.5927,                 1.2168,                0.55815,                0.42392,                0.46714,                0.20895,                 2.1296,                 1.4574,                  1.189,             0.00055188,             0.00055188,             0.00055188
                     65,                 2.2012,                  1.567,                 1.2094,                 0.5674,                0.42981,                0.46708,                0.20956,                 2.1371,                 1.4865,                 1.2113,             0.00053773,             0.00053773,             0.00053773
                     66,                 2.2197,                 1.5535,                 1.2098,                0.55451,                0.44073,                0.47123,                0.21541,                 2.0803,                 1.4538,                 1.1789,             0.00052359,             0.00052359,             0.00052359
                     67,                 2.2463,                  1.582,                 1.2019,                0.57264,                0.44157,                 0.4758,                0.21525,                 2.0812,                 1.4327,                 1.1737,             0.00050944,             0.00050944,             0.00050944
                     68,                 2.1821,                 1.5436,                 1.1978,                0.57178,                0.44097,                0.47883,                0.22351,                 2.0604,                 1.4343,                 1.1819,             0.00049529,             0.00049529,             0.00049529
                     69,                 2.2326,                  1.576,                 1.1928,                0.57453,                0.42786,                0.46615,                0.20136,                 2.1351,                 1.4514,                 1.1827,             0.00048114,             0.00048114,             0.00048114
                     70,                 2.2211,                 1.5753,                 1.1989,                0.57476,                0.44772,                0.48228,                0.22059,                 2.0549,                 1.4168,                 1.1793,               0.000467,               0.000467,               0.000467
                     71,                  2.166,                 1.5203,                 1.1852,                0.60955,                0.43803,                0.48539,                0.22675,                 2.0272,                 1.4013,                 1.1694,             0.00045285,             0.00045285,             0.00045285
                     72,                 2.2085,                 1.5676,                 1.2154,                0.55643,                0.41858,                0.45308,                0.19405,                 2.1564,                  1.501,                 1.1951,              0.0004387,              0.0004387,              0.0004387
                     73,                 2.1893,                 1.5605,                 1.2056,                0.62366,                0.41623,                0.48128,                0.21959,                 2.0779,                 1.4174,                 1.1688,             0.00042456,             0.00042456,             0.00042456
                     74,                 2.1649,                 1.5247,                 1.1895,                0.59372,                0.44063,                0.48438,                0.22169,                 2.0433,                 1.3979,                 1.1709,             0.00041041,             0.00041041,             0.00041041
                     75,                 2.1774,                 1.5448,                 1.1857,                0.59601,                0.42346,                 0.4807,                0.21203,                 2.0951,                 1.4275,                 1.1732,             0.00039626,             0.00039626,             0.00039626
                     76,                 2.1822,                 1.5119,                 1.1797,                0.58136,                 0.4492,                0.49014,                0.22263,                 2.0541,                 1.3953,                 1.1589,             0.00038211,             0.00038211,             0.00038211
                     77,                 2.1372,                 1.5111,                 1.1848,                0.58501,                0.44605,                0.48853,                0.23023,                 2.0156,                 1.3974,                 1.1555,             0.00036797,             0.00036797,             0.00036797
                     78,                 2.1245,                 1.4922,                 1.1774,                0.60073,                0.42224,                0.47815,                0.20901,                 2.1085,                 1.4304,                 1.1757,             0.00035382,             0.00035382,             0.00035382
                     79,                  2.133,                 1.5054,                 1.1764,                0.56489,                0.43612,                0.47225,                0.21431,                 2.0725,                 1.4706,                 1.1658,             0.00033967,             0.00033967,             0.00033967
                     80,                 2.1627,                 1.5027,                  1.156,                0.54492,                0.45413,                0.47893,                0.22108,                 2.0074,                 1.4015,                 1.1543,             0.00032553,             0.00032553,             0.00032553
                     81,                 2.1684,                 1.5284,                 1.1804,                0.59383,                0.44366,                0.48609,                0.22568,                 2.0157,                 1.3796,                 1.1628,             0.00031138,             0.00031138,             0.00031138
                     82,                 2.1438,                 1.5237,                 1.1811,                0.56327,                0.45785,                0.49127,                0.22903,                 2.0188,                 1.3974,                  1.155,             0.00029723,             0.00029723,             0.00029723
                     83,                 2.1029,                 1.5013,                 1.1685,                0.61107,                0.42992,                0.49196,                0.22315,                 2.0385,                 1.4077,                 1.1522,             0.00028308,             0.00028308,             0.00028308
                     84,                 2.1283,                 1.5208,                 1.1786,                0.60068,                0.44241,                0.48672,                0.22809,                 2.0212,                 1.3959,                 1.1608,             0.00026894,             0.00026894,             0.00026894
                     85,                 2.0984,                 1.4883,                 1.1703,                0.60528,                0.44216,                0.49761,                0.23262,                 1.9872,                 1.3715,                 1.1461,             0.00025479,             0.00025479,             0.00025479
                     86,                 2.0943,                 1.4755,                 1.1674,                0.58313,                0.45134,                0.49385,                0.23343,                 1.9814,                 1.3752,                 1.1522,             0.00024064,             0.00024064,             0.00024064
                     87,                 2.1402,                 1.5004,                 1.1674,                0.60845,                0.44449,                0.49798,                0.23505,                 1.9872,                 1.3583,                 1.1459,              0.0002265,              0.0002265,              0.0002265
                     88,                 2.0704,                 1.4579,                 1.1598,                0.58461,                0.45694,                0.49268,                0.22945,                 1.9853,                 1.3672,                 1.1462,             0.00021235,             0.00021235,             0.00021235
                     89,                 2.1129,                 1.4748,                 1.1709,                0.60938,                0.45013,                0.50568,                0.23493,                 1.9878,                 1.3774,                 1.1452,              0.0001982,              0.0001982,              0.0001982
                     90,                 2.0729,                 1.4755,                 1.1712,                0.61588,                0.44585,                0.50197,                0.23194,                 1.9829,                 1.3514,                 1.1476,             0.00018406,             0.00018406,             0.00018406
                     91,                 2.1301,                 1.5796,                 1.2095,                 0.6312,                0.43539,                0.49587,                0.23754,                 1.9737,                 1.3929,                 1.1488,             0.00016991,             0.00016991,             0.00016991
                     92,                 2.0955,                 1.5361,                 1.1981,                0.62353,                0.44835,                0.51057,                0.24484,                 1.9731,                 1.3666,                  1.135,             0.00015576,             0.00015576,             0.00015576
                     93,                 2.0865,                   1.52,                 1.1955,                0.60705,                0.46734,                0.51598,                0.24799,                 1.9539,                 1.3545,                 1.1388,             0.00014161,             0.00014161,             0.00014161
                     94,                 2.0813,                 1.5385,                 1.2077,                0.59888,                0.44709,                0.50257,                0.23578,                 2.0033,                  1.405,                 1.1434,             0.00012747,             0.00012747,             0.00012747
                     95,                 2.0758,                 1.5442,                  1.201,                0.61967,                0.45516,                0.51093,                0.24018,                 1.9729,                 1.3658,                 1.1462,             0.00011332,             0.00011332,             0.00011332
                     96,                 2.0625,                 1.5051,                 1.2078,                 0.6233,                0.45923,                0.51598,                0.24927,                 1.9314,                 1.3429,                 1.1401,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     97,                 2.0416,                 1.4904,                 1.1815,                0.62051,                0.46182,                0.51356,                0.24779,                 1.9398,                 1.3433,                 1.1333,             8.5026e-05,             8.5026e-05,             8.5026e-05
                     98,                 2.0557,                 1.5042,                 1.1971,                0.61878,                0.45583,                 0.5127,                0.24806,                 1.9325,                 1.3512,                  1.136,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     99,                 2.0477,                 1.4942,                 1.1823,                0.60543,                0.45829,                0.51169,                0.24525,                 1.9365,                 1.3474,                  1.137,             5.6731e-05,             5.6731e-05,             5.6731e-05
                    100,                  2.063,                  1.519,                 1.2014,                0.60543,                0.46021,                0.51353,                0.24937,                 1.9276,                 1.3458,                 1.1382,             4.2584e-05,             4.2584e-05,             4.2584e-05
