                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     63,                  2.412,                 1.5338,                 1.3977,                0.46553,                0.43331,                0.42438,                0.18747,                 2.3332,                 1.5067,                 1.4212,             0.00056603,             0.00056603,             0.00056603
                     64,                 2.3879,                 1.5606,                  1.405,                0.50307,                0.43605,                0.43399,                0.20034,                 2.3115,                 1.4808,                 1.4342,             0.00055188,             0.00055188,             0.00055188
                     65,                  2.342,                 1.5503,                 1.4086,                0.50291,                0.46026,                0.43576,                0.20168,                 2.2808,                 1.4749,                 1.4243,             0.00053773,             0.00053773,             0.00053773
                     66,                 2.3306,                 1.5253,                 1.3786,                0.51025,                0.43547,                0.42901,                0.19138,                 2.3009,                 1.4718,                 1.4261,             0.00052359,             0.00052359,             0.00052359
                     67,                 2.4198,                 1.5658,                 1.4088,                0.51403,                0.43636,                0.43451,                0.19545,                 2.2701,                 1.4566,                  1.423,             0.00050944,             0.00050944,             0.00050944
                     68,                 2.3043,                 1.5107,                 1.3874,                0.50568,                0.42826,                0.43682,                0.20732,                 2.2451,                 1.5032,                 1.4117,             0.00049529,             0.00049529,             0.00049529
                     69,                 2.3477,                 1.5414,                 1.3873,                0.48349,                0.43022,                 0.4252,                0.18594,                 2.3173,                 1.4753,                 1.4212,             0.00048114,             0.00048114,             0.00048114
                     70,                 2.3731,                 1.5534,                 1.3839,                0.50922,                0.43455,                 0.4319,                0.20187,                 2.2509,                 1.4203,                 1.4102,               0.000467,               0.000467,               0.000467
                     71,                 2.3046,                 1.5039,                 1.3808,                0.53167,                0.44968,                0.43979,                0.21156,                 2.1843,                 1.3932,                 1.3966,             0.00045285,             0.00045285,             0.00045285
                     72,                 2.3463,                 1.5582,                 1.4115,                0.50952,                 0.4349,                 0.4368,                0.20815,                 2.2214,                 1.4788,                  1.395,              0.0004387,              0.0004387,              0.0004387
                     73,                  2.307,                 1.5177,                 1.4054,                0.51937,                0.44991,                0.44212,                0.20948,                 2.1903,                 1.4016,                 1.4085,             0.00042456,             0.00042456,             0.00042456
                     74,                 2.2868,                 1.4855,                 1.3648,                0.51812,                0.42211,                0.43145,                0.20192,                 2.2426,                 1.4828,                 1.3935,             0.00041041,             0.00041041,             0.00041041
                     75,                 2.3193,                 1.5345,                 1.3793,                0.51535,                0.44779,                0.44296,                0.20331,                  2.214,                 1.4176,                 1.3934,             0.00039626,             0.00039626,             0.00039626
                     76,                 2.2839,                  1.494,                 1.3688,                0.49234,                0.45291,                0.43331,                0.20701,                 2.1739,                 1.4027,                 1.3894,             0.00038211,             0.00038211,             0.00038211
                     77,                 2.2639,                 1.4884,                 1.3707,                0.53043,                0.43277,                0.43787,                0.21035,                 2.1833,                 1.4157,                 1.3858,             0.00036797,             0.00036797,             0.00036797
                     78,                 2.2402,                 1.4654,                 1.3495,                0.51721,                0.44427,                0.44686,                0.21124,                 2.1817,                 1.4056,                 1.3808,             0.00035382,             0.00035382,             0.00035382
                     79,                 2.2958,                 1.5046,                 1.3797,                0.51227,                0.45602,                0.43059,                0.20331,                 2.2656,                  1.507,                 1.3933,             0.00033967,             0.00033967,             0.00033967
                     80,                 2.2784,                 1.4699,                 1.3385,                0.50885,                0.45508,                0.45117,                0.21961,                 2.1368,                  1.376,                 1.3702,             0.00032553,             0.00032553,             0.00032553
                     81,                 2.2844,                 1.4951,                 1.3685,                0.51509,                 0.4287,                0.43798,                0.20883,                 2.1939,                 1.4845,                 1.3787,             0.00031138,             0.00031138,             0.00031138
                     82,                 2.2757,                 1.5033,                   1.38,                 0.5134,                0.42871,                0.43299,                0.19364,                 2.2469,                  1.438,                 1.3835,             0.00029723,             0.00029723,             0.00029723
                     83,                 2.2332,                 1.4806,                 1.3783,                0.51844,                0.45191,                0.44998,                0.20746,                 2.2054,                 1.4006,                 1.3857,             0.00028308,             0.00028308,             0.00028308
                     84,                 2.2726,                 1.4994,                 1.3722,                0.52408,                0.43678,                0.44423,                 0.2111,                 2.1666,                 1.3843,                 1.3837,             0.00026894,             0.00026894,             0.00026894
                     85,                 2.2532,                 1.4733,                 1.3626,                0.54187,                0.42809,                0.44848,                0.21737,                 2.1517,                 1.4137,                 1.3745,             0.00025479,             0.00025479,             0.00025479
                     86,                 2.2096,                 1.4664,                 1.3618,                0.52803,                 0.4401,                0.44836,                0.21439,                 2.1645,                 1.4175,                 1.3836,             0.00024064,             0.00024064,             0.00024064
                     87,                   2.26,                 1.4828,                 1.3501,                0.50811,                0.44646,                0.44024,                  0.207,                  2.187,                 1.3846,                 1.3884,              0.0002265,              0.0002265,              0.0002265
                     88,                 2.1947,                 1.4241,                 1.3496,                0.53761,                0.43699,                0.44635,                0.20482,                 2.1978,                 1.3911,                 1.3812,             0.00021235,             0.00021235,             0.00021235
                     89,                 2.2019,                 1.4615,                 1.3538,                0.52256,                0.44011,                0.44875,                0.21725,                 2.1453,                 1.4298,                 1.3748,              0.0001982,              0.0001982,              0.0001982
                     90,                 2.1877,                 1.4566,                 1.3638,                0.53301,                0.41825,                0.44189,                0.20734,                 2.1875,                 1.4639,                 1.3721,             0.00018406,             0.00018406,             0.00018406
                     91,                  2.275,                 1.5463,                 1.4297,                0.54944,                0.42691,                0.43671,                0.21328,                 2.1413,                 1.4026,                 1.3822,             0.00016991,             0.00016991,             0.00016991
                     92,                 2.2356,                 1.5397,                 1.4443,                0.52174,                0.45751,                0.45417,                0.21917,                 2.1275,                 1.3833,                 1.3615,             0.00015576,             0.00015576,             0.00015576
                     93,                 2.2246,                 1.5145,                 1.4273,                0.53759,                0.43889,                0.44165,                0.21596,                 2.1323,                 1.3842,                 1.3617,             0.00014161,             0.00014161,             0.00014161
                     94,                 2.2274,                 1.5086,                 1.4314,                0.53291,                0.45497,                0.45545,                 0.2249,                 2.1161,                 1.3549,                 1.3589,             0.00012747,             0.00012747,             0.00012747
                     95,                 2.2254,                 1.5352,                 1.4183,                0.53364,                0.44867,                0.45309,                0.22041,                 2.1178,                 1.3582,                 1.3666,             0.00011332,             0.00011332,             0.00011332
                     96,                 2.2215,                 1.4835,                  1.441,                0.53669,                0.45218,                 0.4502,                0.22246,                 2.1309,                 1.3979,                 1.3624,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     97,                 2.1854,                 1.4655,                 1.4086,                0.52834,                0.45144,                0.44958,                0.21803,                 2.1322,                 1.3564,                 1.3626,             8.5026e-05,             8.5026e-05,             8.5026e-05
                     98,                 2.2054,                 1.4949,                 1.4378,                0.54495,                 0.4462,                0.45901,                0.22861,                 2.0903,                 1.3642,                 1.3558,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     99,                 2.1946,                  1.473,                  1.408,                0.54046,                0.44941,                0.45934,                0.22612,                 2.0867,                 1.3328,                 1.3551,             5.6731e-05,             5.6731e-05,             5.6731e-05
                    100,                 2.2211,                 1.4989,                  1.435,                 0.5423,                0.45358,                0.46198,                0.22875,                 2.0793,                 1.3372,                 1.3525,             4.2584e-05,             4.2584e-05,             4.2584e-05
